experiment,num_features,roc_auc,pr_auc,delta_pr_auc,delta_roc_auc
No Distance,231,0.8771261741558771,0.35559131630765645,0.0270296462698994,0.011872020535386829
No Lithology OHE,11,0.8656102789766156,0.3490555118010084,0.020493841763251364,0.00035612535612528085
Full model,235,0.8652541536204903,0.32856167003775705,0.0,0.0
No Coordinates,233,0.797075540887422,0.2261233842011379,-0.10243828583661915,-0.06817861273306824
No Missing indicators,230,0.8288482694423287,0.2069786821156904,-0.12158298792206665,-0.036405884178161596
