fold,roc_auc,pr_auc,positive_rate
0,0.7610963465298143,0.15062604499314627,0.03196974905465796
1,0.7834501605731224,0.18148096968719934,0.03163686382393398
2,0.7963500494071147,0.26265969417515067,0.03163686382393398
3,0.7744449419466403,0.1688449731904869,0.03163686382393398
4,0.7812345602766798,0.15993351480486784,0.03163686382393398
